SessionID,UserID,session_time,page_views,cart_items,purchase,DeviceType,Country,ReferralSource,engagement_score,time_per_page,cart_flag
session_1120,user_2661,194,2,0,0,Mobile,UK,Email,196,97.0,0
session_1121,user_2862,314,3,0,0,Mobile,Germany,Social Media,317,104.66666666666667,0
session_1122,user_1188,221,2,0,0,Mobile,Germany,Direct,223,110.5,0
session_1123,user_2354,96,2,5,0,Mobile,France,Google,98,48.0,1
session_1124,user_2092,135,2,1,0,Desktop,USA,Social Media,137,67.5,1
session_1126,user_1317,81,1,0,0,Mobile,Canada,Direct,82,81.0,0
session_1127,user_1734,104,1,0,0,Desktop,France,Google,105,104.0,0
session_1129,user_1332,358,3,5,0,Mobile,France,Google,361,119.33333333333333,1
session_113,user_1030,142,2,4,0,Tablet,UK,Email,144,71.0,1
session_1131,user_2995,180,2,0,0,Mobile,Canada,Google,182,90.0,0
session_1133,user_1525,172,2,0,0,Desktop,Canada,Direct,174,86.0,0
session_1135,user_1764,227,2,3,0,Tablet,Canada,Social Media,229,113.5,1
session_1136,user_1701,168,2,3,0,Mobile,Australia,Direct,170,84.0,1
session_1138,user_1009,253,2,0,0,Tablet,Canada,Google,255,126.5,0
session_1139,user_2774,355,3,5,0,Mobile,Germany,Google,358,118.33333333333333,1
session_114,user_2803,101,2,0,0,Mobile,Germany,Email,103,50.5,0
session_1140,user_1657,88,1,0,0,Mobile,UK,Direct,89,88.0,0
session_1142,user_1317,119,2,0,0,Tablet,Canada,Email,121,59.5,0
session_1143,user_2588,409,4,3,0,Desktop,Germany,Email,413,102.25,1
session_1144,user_2040,144,2,0,0,Desktop,Australia,Email,146,72.0,0
session_1145,user_1716,382,4,4,0,Desktop,France,Email,386,95.5,1
session_1148,user_1098,128,2,0,0,Desktop,Australia,Email,130,64.0,0
session_1149,user_1423,324,3,3,0,Tablet,Germany,Social Media,327,108.0,1
session_115,user_2619,146,2,4,0,Tablet,UK,Direct,148,73.0,1
session_1150,user_1625,132,1,0,0,Tablet,India,Email,133,132.0,0
session_1152,user_2800,200,2,0,0,Tablet,UK,Social Media,202,100.0,0
session_1153,user_1416,50,2,0,0,Mobile,UK,Social Media,52,25.0,0
session_1154,user_1131,307,2,0,0,Desktop,Germany,Email,309,153.5,0
session_1156,user_1589,132,1,0,0,Mobile,France,Social Media,133,132.0,0
session_1157,user_2147,171,2,0,0,Mobile,France,Direct,173,85.5,0
session_1158,user_2251,187,2,5,0,Mobile,India,Google,189,93.5,1
session_1159,user_2007,160,2,1,0,Mobile,Canada,Email,162,80.0,1
session_116,user_1385,206,2,0,0,Tablet,Germany,Email,208,103.0,0
session_1160,user_2843,290,2,3,0,Desktop,India,Direct,292,145.0,1
session_1162,user_2698,105,2,0,0,Mobile,India,Social Media,107,52.5,0
session_1163,user_2427,67,1,0,0,Tablet,Germany,Email,68,67.0,0
session_1164,user_1863,442,3,4,0,Mobile,India,Direct,445,147.33333333333334,1
session_1165,user_1342,265,2,5,0,Desktop,USA,Direct,267,132.5,1
session_1166,user_1607,237,3,4,0,Tablet,India,Google,240,79.0,1
session_1167,user_1671,188,2,0,0,Desktop,UK,Direct,190,94.0,0
session_1168,user_1606,466,4,2,0,Tablet,UK,Direct,470,116.5,1
session_117,user_1679,309,2,0,0,Tablet,UK,Social Media,311,154.5,0
session_1170,user_2340,172,1,0,0,Tablet,Germany,Social Media,173,172.0,0
session_1171,user_2899,261,2,0,0,Tablet,Australia,Direct,263,130.5,0
session_1173,user_2145,209,2,2,0,Desktop,UK,Social Media,211,104.5,1
session_1174,user_2623,296,2,3,0,Mobile,India,Social Media,298,148.0,1
session_1176,user_2059,175,2,4,0,Desktop,UK,Social Media,177,87.5,1
session_1177,user_1680,224,2,0,0,Desktop,Canada,Google,226,112.0,0
session_1179,user_1090,111,1,0,0,Mobile,UK,Google,112,111.0,0
session_118,user_2114,210,2,0,0,Mobile,USA,Direct,212,105.0,0
session_1180,user_1678,262,2,0,0,Mobile,Australia,Google,264,131.0,0
session_1182,user_2891,205,2,1,0,Desktop,India,Social Media,207,102.5,1
session_1183,user_1977,287,2,4,0,Mobile,UK,Social Media,289,143.5,1
session_1184,user_1977,104,2,0,0,Desktop,Canada,Social Media,106,52.0,0
session_1185,user_2265,376,4,5,0,Mobile,Germany,Social Media,380,94.0,1
session_1186,user_2708,94,2,0,0,Mobile,Australia,Direct,96,47.0,0
session_1188,user_1202,276,2,4,0,Desktop,Germany,Direct,278,138.0,1
session_1189,user_2442,225,2,5,0,Mobile,Canada,Google,227,112.5,1
session_1190,user_1650,183,2,5,0,Mobile,Germany,Direct,185,91.5,1
session_1191,user_1740,213,2,3,0,Tablet,Australia,Email,215,106.5,1
session_1192,user_1538,317,3,5,0,Desktop,India,Google,320,105.66666666666667,1
session_1193,user_1199,308,2,1,0,Desktop,India,Direct,310,154.0,1
session_1194,user_1978,127,1,0,0,Tablet,Germany,Direct,128,127.0,0
session_1195,user_2009,176,2,3,0,Desktop,USA,Google,178,88.0,1
session_1198,user_2481,178,1,0,0,Tablet,India,Google,179,178.0,0
session_1199,user_2843,239,2,0,0,Mobile,UK,Direct,241,119.5,0
session_12,user_2907,270,3,1,0,Mobile,France,Email,273,90.0,1
session_1200,user_2364,262,3,0,0,Tablet,USA,Google,265,87.33333333333333,0
session_1201,user_2032,476,4,1,0,Desktop,UK,Google,480,119.0,1
session_1202,user_2792,267,2,1,0,Desktop,UK,Email,269,133.5,1
session_1203,user_1783,166,2,5,0,Desktop,Germany,Direct,168,83.0,1
session_1204,user_1846,219,2,4,0,Tablet,France,Email,221,109.5,1
session_1205,user_2045,180,2,2,0,Tablet,Australia,Direct,182,90.0,1
session_1207,user_1689,84,1,0,0,Mobile,UK,Direct,85,84.0,0
session_1208,user_2160,251,2,2,0,Tablet,India,Email,253,125.5,1
session_1209,user_2004,329,2,0,0,Tablet,India,Direct,331,164.5,0
session_121,user_2762,303,3,1,0,Tablet,Germany,Email,306,101.0,1
session_1210,user_2416,78,2,5,0,Desktop,UK,Google,80,39.0,1
session_1212,user_2204,76,2,0,0,Mobile,Canada,Social Media,78,38.0,0
session_1215,user_2141,73,1,0,0,Desktop,UK,Direct,74,73.0,0
session_1216,user_2068,108,1,0,0,Mobile,USA,Direct,109,108.0,0
session_1217,user_1257,128,2,1,0,Tablet,USA,Google,130,64.0,1
session_1218,user_3001,183,2,3,0,Mobile,Australia,Google,185,91.5,1
session_1219,user_2885,195,2,0,0,Mobile,Germany,Google,197,97.5,0
session_122,user_2875,200,2,5,0,Desktop,UK,Google,202,100.0,1
session_1220,user_1041,121,3,1,0,Tablet,Canada,Email,124,40.333333333333336,1
session_1221,user_1808,38,1,0,0,Mobile,France,Google,39,38.0,0
session_1222,user_2588,178,1,0,0,Desktop,Germany,Direct,179,178.0,0
session_1223,user_1858,199,2,0,0,Tablet,Canada,Email,201,99.5,0
session_1224,user_1732,107,2,0,0,Tablet,Canada,Email,109,53.5,0
session_1225,user_1083,258,2,0,0,Tablet,UK,Direct,260,129.0,0
session_1227,user_1066,313,3,5,0,Mobile,USA,Google,316,104.33333333333333,1
session_1228,user_1118,58,1,0,0,Tablet,Australia,Google,59,58.0,0
session_123,user_2142,65,2,0,0,Mobile,Canada,Social Media,67,32.5,0
session_1230,user_1485,23,1,0,0,Mobile,UK,Direct,24,23.0,0
session_1232,user_1237,119,1,0,0,Desktop,India,Email,120,119.0,0
session_1234,user_1215,122,1,0,0,Tablet,USA,Direct,123,122.0,0
session_1235,user_2357,96,1,0,0,Mobile,Canada,Google,97,96.0,0
session_1236,user_2250,105,2,0,0,Mobile,Germany,Social Media,107,52.5,0
session_1237,user_1890,195,2,5,0,Mobile,Germany,Email,197,97.5,1
session_1238,user_2345,236,2,4,0,Mobile,USA,Google,238,118.0,1
session_1239,user_1080,204,2,0,0,Desktop,Germany,Email,206,102.0,0
session_1240,user_1858,117,1,0,0,Tablet,Australia,Google,118,117.0,0
session_1241,user_1616,338,4,2,0,Tablet,Germany,Social Media,342,84.5,1
session_1242,user_1771,124,2,0,0,Tablet,Australia,Email,126,62.0,0
session_1244,user_2635,21,1,0,0,Desktop,Australia,Direct,22,21.0,0
session_1245,user_1243,32,1,0,0,Mobile,Canada,Email,33,32.0,0
session_1246,user_2305,63,1,0,0,Desktop,India,Direct,64,63.0,0
session_1248,user_1949,230,2,4,0,Tablet,France,Google,232,115.0,1
session_1249,user_2949,278,2,0,0,Desktop,UK,Google,280,139.0,0
session_125,user_1471,248,2,3,0,Tablet,India,Email,250,124.0,1
session_1250,user_1616,94,2,0,0,Tablet,UK,Email,96,47.0,0
session_1251,user_1840,156,2,0,0,Tablet,Germany,Email,158,78.0,0
session_1252,user_1923,161,1,0,0,Tablet,Germany,Direct,162,161.0,0
session_1254,user_2451,317,4,3,0,Mobile,Germany,Email,321,79.25,1
session_1255,user_2471,263,3,2,0,Tablet,Canada,Direct,266,87.66666666666667,1
session_1256,user_1583,198,2,5,0,Mobile,UK,Google,200,99.0,1
session_1258,user_1763,283,2,0,0,Mobile,USA,Social Media,285,141.5,0
session_1259,user_1038,413,4,3,0,Tablet,France,Social Media,417,103.25,1
session_126,user_2713,76,1,0,0,Mobile,USA,Direct,77,76.0,0
session_1260,user_1036,530,4,1,0,Mobile,Australia,Google,534,132.5,1
session_1261,user_2051,205,2,0,0,Mobile,France,Social Media,207,102.5,0
session_1263,user_2498,92,2,0,0,Mobile,UK,Direct,94,46.0,0
session_1264,user_1524,221,2,0,0,Tablet,Australia,Email,223,110.5,0
session_1267,user_2189,213,2,5,0,Mobile,Australia,Google,215,106.5,1
session_1268,user_1183,305,2,0,0,Desktop,UK,Social Media,307,152.5,0
session_1269,user_1676,127,1,0,0,Mobile,France,Email,128,127.0,0
session_127,user_2168,430,3,2,0,Tablet,India,Email,433,143.33333333333334,1
session_1270,user_1479,196,2,0,0,Tablet,India,Direct,198,98.0,0
session_1271,user_1052,214,2,4,0,Tablet,Canada,Direct,216,107.0,1
session_1274,user_2361,24,1,0,0,Tablet,India,Email,25,24.0,0
session_1275,user_1174,55,1,0,0,Tablet,Canada,Google,56,55.0,0
session_1276,user_1650,153,3,3,0,Mobile,Canada,Google,156,51.0,1
session_1277,user_1347,261,2,0,0,Tablet,Canada,Google,263,130.5,0
session_1278,user_1422,89,2,0,0,Mobile,Australia,Email,91,44.5,0
session_1280,user_1998,339,3,2,0,Tablet,Australia,Direct,342,113.0,1
session_1281,user_1950,91,1,0,0,Desktop,Canada,Social Media,92,91.0,0
session_1282,user_2231,158,3,2,0,Tablet,Canada,Direct,161,52.666666666666664,1
session_1283,user_2746,26,1,0,0,Tablet,Germany,Email,27,26.0,0
session_1286,user_1394,229,2,4,0,Desktop,India,Direct,231,114.5,1
session_1287,user_2912,184,2,4,0,Desktop,Germany,Social Media,186,92.0,1
session_1288,user_1746,108,2,0,0,Desktop,India,Direct,110,54.0,0
session_1289,user_2544,260,2,3,0,Mobile,USA,Direct,262,130.0,1
session_129,user_2755,221,2,0,0,Desktop,UK,Direct,223,110.5,0
session_1290,user_2557,306,3,4,0,Mobile,Australia,Google,309,102.0,1
session_1294,user_2941,154,2,3,0,Mobile,Canada,Social Media,156,77.0,1
session_1295,user_1642,143,2,0,0,Tablet,UK,Email,145,71.5,0
session_1296,user_2158,173,1,0,0,Mobile,Germany,Email,174,173.0,0
session_1297,user_1615,170,2,4,0,Desktop,France,Email,172,85.0,1
session_1299,user_1729,334,2,3,0,Tablet,India,Social Media,336,167.0,1
session_13,user_1058,357,3,5,0,Tablet,USA,Direct,360,119.0,1
session_1300,user_1202,120,1,0,0,Tablet,India,Email,121,120.0,0
session_1301,user_1204,385,4,3,0,Mobile,Canada,Google,389,96.25,1
session_1302,user_1512,125,1,0,0,Tablet,Germany,Google,126,125.0,0
session_1303,user_2564,288,2,0,0,Desktop,USA,Direct,290,144.0,0
session_1304,user_1804,115,2,0,0,Desktop,USA,Direct,117,57.5,0
session_1305,user_1526,252,2,0,0,Mobile,Canada,Email,254,126.0,0
session_1306,user_2641,98,2,4,0,Mobile,UK,Direct,100,49.0,1
session_1307,user_1283,246,2,3,0,Tablet,Germany,Social Media,248,123.0,1
session_1308,user_1744,164,2,5,0,Tablet,Canada,Email,166,82.0,1
session_1309,user_2214,259,2,2,0,Tablet,Canada,Google,261,129.5,1
session_131,user_2498,116,2,3,0,Tablet,France,Social Media,118,58.0,1
session_1310,user_2683,212,3,4,0,Tablet,USA,Google,215,70.66666666666667,1
session_1313,user_2370,132,1,0,0,Tablet,Canada,Direct,133,132.0,0
session_1314,user_2893,286,2,0,0,Desktop,India,Direct,288,143.0,0
session_1315,user_1592,38,1,0,0,Tablet,Germany,Direct,39,38.0,0
session_1316,user_1299,254,2,4,0,Mobile,Germany,Email,256,127.0,1
session_1317,user_2292,112,2,2,0,Tablet,UK,Direct,114,56.0,1
session_1318,user_2785,294,2,0,0,Desktop,UK,Social Media,296,147.0,0
session_132,user_1515,150,1,0,0,Mobile,Canada,Direct,151,150.0,0
session_1320,user_2398,253,2,0,0,Tablet,France,Social Media,255,126.5,0
session_1323,user_1073,151,1,0,0,Mobile,USA,Direct,152,151.0,0
session_1324,user_2855,294,2,0,0,Desktop,Germany,Email,296,147.0,0
session_1325,user_2470,187,2,4,0,Tablet,USA,Email,189,93.5,1
session_1326,user_2922,124,1,0,0,Mobile,Germany,Email,125,124.0,0
session_1327,user_2925,174,1,0,0,Tablet,India,Social Media,175,174.0,0
session_1328,user_1348,38,1,0,0,Tablet,UK,Google,39,38.0,0
session_1329,user_2869,73,1,0,0,Desktop,India,Direct,74,73.0,0
session_133,user_2286,165,2,0,0,Tablet,UK,Email,167,82.5,0
session_1330,user_2985,125,1,0,0,Mobile,Canada,Social Media,126,125.0,0
session_1332,user_2502,134,2,1,0,Desktop,Germany,Email,136,67.0,1
session_1336,user_1807,236,2,3,0,Desktop,India,Email,238,118.0,1
session_1337,user_2843,170,1,0,0,Mobile,Canada,Google,171,170.0,0
session_1338,user_1967,403,4,3,0,Desktop,UK,Social Media,407,100.75,1
session_1339,user_2985,220,3,5,0,Mobile,France,Google,223,73.33333333333333,1
session_134,user_1372,260,2,2,0,Tablet,France,Email,262,130.0,1
session_1341,user_2903,294,3,4,0,Mobile,USA,Google,297,98.0,1
session_1343,user_1213,180,2,1,0,Mobile,France,Direct,182,90.0,1
session_1345,user_1620,155,2,4,0,Tablet,France,Social Media,157,77.5,1
session_1346,user_2029,232,2,4,0,Tablet,Canada,Social Media,234,116.0,1
session_1347,user_2203,197,2,1,0,Mobile,USA,Direct,199,98.5,1
session_1348,user_1971,97,1,0,0,Tablet,India,Direct,98,97.0,0
session_1349,user_1957,135,2,0,0,Tablet,USA,Google,137,67.5,0
session_135,user_1510,293,4,3,0,Mobile,India,Google,297,73.25,1
session_1351,user_1774,261,2,5,0,Mobile,Canada,Email,263,130.5,1
session_1352,user_1381,198,2,2,0,Tablet,Canada,Google,200,99.0,1
session_1353,user_1961,201,2,4,0,Desktop,UK,Email,203,100.5,1
session_1354,user_2182,190,2,5,0,Desktop,India,Google,192,95.0,1
session_1355,user_2373,151,1,0,0,Mobile,Canada,Social Media,152,151.0,0
session_1356,user_1161,82,1,0,0,Desktop,France,Email,83,82.0,0
session_1357,user_1634,135,2,4,0,Tablet,Canada,Google,137,67.5,1
session_1358,user_1155,50,2,2,0,Mobile,France,Direct,52,25.0,1
session_1359,user_1384,205,2,5,0,Tablet,India,Direct,207,102.5,1
session_136,user_1390,282,2,5,0,Mobile,Canada,Social Media,284,141.0,1
session_1360,user_2122,47,2,3,0,Mobile,India,Email,49,23.5,1
session_1361,user_2545,154,1,0,0,Desktop,India,Email,155,154.0,0
session_1362,user_1878,257,2,5,0,Tablet,USA,Direct,259,128.5,1
session_1363,user_1198,197,2,4,0,Mobile,UK,Direct,199,98.5,1
session_1364,user_1602,120,2,1,0,Mobile,UK,Email,122,60.0,1
session_1365,user_1873,293,2,1,0,Desktop,Canada,Social Media,295,146.5,1
session_1366,user_1493,160,2,3,0,Tablet,France,Direct,162,80.0,1
session_1367,user_1683,144,2,0,0,Mobile,USA,Direct,146,72.0,0
session_1368,user_2613,93,1,0,0,Tablet,USA,Email,94,93.0,0
session_137,user_1263,153,2,0,0,Tablet,India,Social Media,155,76.5,0
session_1370,user_1095,94,2,0,0,Tablet,UK,Direct,96,47.0,0
session_1371,user_2297,219,2,1,0,Tablet,USA,Email,221,109.5,1
session_1372,user_2643,128,1,0,0,Mobile,Canada,Social Media,129,128.0,0
session_1373,user_2250,279,2,1,0,Tablet,Germany,Social Media,281,139.5,1
session_1374,user_2106,62,1,0,0,Mobile,Australia,Google,63,62.0,0
session_1376,user_2969,128,1,0,0,Tablet,UK,Social Media,129,128.0,0
session_1377,user_1779,246,2,0,0,Tablet,USA,Social Media,248,123.0,0
session_1378,user_1638,118,2,0,0,Desktop,Australia,Google,120,59.0,0
session_1379,user_2698,279,3,1,0,Mobile,Australia,Email,282,93.0,1
session_1380,user_1964,173,2,0,0,Tablet,Germany,Google,175,86.5,0
session_1381,user_1043,107,2,4,0,Desktop,Canada,Social Media,109,53.5,1
session_1382,user_2103,251,2,4,0,Tablet,India,Google,253,125.5,1
session_1383,user_2882,307,2,3,0,Desktop,UK,Google,309,153.5,1
session_1384,user_2989,176,2,2,0,Desktop,USA,Social Media,178,88.0,1
session_1385,user_1111,141,1,0,0,Tablet,UK,Google,142,141.0,0
session_1386,user_1767,330,3,2,0,Mobile,Canada,Social Media,333,110.0,1
session_1387,user_1067,149,2,5,0,Desktop,Canada,Google,151,74.5,1
session_1388,user_2574,162,2,1,0,Mobile,India,Direct,164,81.0,1
session_139,user_2866,222,2,1,0,Mobile,Canada,Email,224,111.0,1
session_1390,user_1108,154,1,0,0,Desktop,USA,Social Media,155,154.0,0
session_1391,user_1297,155,2,0,0,Mobile,India,Direct,157,77.5,0
session_1392,user_2786,214,2,0,0,Desktop,India,Direct,216,107.0,0
session_1394,user_2866,214,2,1,0,Desktop,USA,Social Media,216,107.0,1
session_1395,user_2413,160,2,5,0,Mobile,UK,Google,162,80.0,1
session_1396,user_1178,112,2,0,0,Desktop,UK,Social Media,114,56.0,0
session_1397,user_1352,253,2,0,0,Mobile,Germany,Social Media,255,126.5,0
session_1398,user_1235,264,3,4,0,Mobile,India,Google,267,88.0,1
session_1399,user_1381,232,2,0,0,Desktop,France,Google,234,116.0,0
session_14,user_1884,207,2,0,0,Mobile,Australia,Email,209,103.5,0
session_140,user_2010,255,3,1,0,Desktop,Canada,Google,258,85.0,1
session_1400,user_1801,283,2,0,0,Mobile,Germany,Google,285,141.5,0
session_1401,user_2946,107,1,0,0,Desktop,Germany,Direct,108,107.0,0
session_1402,user_1318,314,2,3,0,Tablet,Australia,Email,316,157.0,1
session_1403,user_2039,203,2,0,0,Mobile,Canada,Google,205,101.5,0
session_1404,user_1656,221,2,0,0,Tablet,France,Social Media,223,110.5,0
session_1405,user_2225,401,3,3,0,Desktop,France,Direct,404,133.66666666666666,1
session_1407,user_1686,165,2,5,0,Tablet,France,Email,167,82.5,1
session_1408,user_2409,248,2,3,0,Tablet,Germany,Social Media,250,124.0,1
session_1409,user_2900,318,2,0,0,Desktop,UK,Email,320,159.0,0
session_141,user_1643,210,2,0,0,Mobile,Australia,Email,212,105.0,0
session_1410,user_1358,48,1,0,0,Tablet,Canada,Social Media,49,48.0,0
session_1411,user_2149,145,1,0,0,Mobile,USA,Google,146,145.0,0
session_1412,user_2254,267,2,5,0,Desktop,Germany,Google,269,133.5,1
session_1413,user_1354,223,2,4,0,Mobile,Canada,Email,225,111.5,1
session_1414,user_2957,261,2,0,0,Tablet,Canada,Google,263,130.5,0
session_1416,user_1894,277,2,1,0,Desktop,France,Email,279,138.5,1
session_1417,user_1881,490,4,1,0,Mobile,India,Direct,494,122.5,1
session_1418,user_2423,290,2,5,0,Desktop,USA,Direct,292,145.0,1
session_1419,user_1129,134,2,0,0,Tablet,Germany,Email,136,67.0,0
session_142,user_1473,259,2,3,0,Desktop,UK,Google,261,129.5,1
